,game_and_track,value
513,"Kirby 64: The Crystal Shards--""Shiver Star""",low_reverb
514,"Pokémon Diamond/Pearl--""Route 216""",high_reverb
515,"Super Smash Brothers Melee--""Icicle Mountain""",high_reverb
516,"Knight Arms--""Arsys Christmas Song""",high_reverb
517,"Super Mario Kart--""Vanilla Lake""",low_reverb
518,"Mario Kart 64--""Frappe Snowland""",low_reverb
519,"Kirby Air Ride--""Float Islands""",low_reverb
520,"Kirby Air Ride--""Frozen Hillside""",high_reverb
521,"Kirby Air Ride--""Rainbow Resort""",high_reverb
522,"Kirby and the Amazing Mirror--""Crystal and Ice""",high_reverb
523,"Kirby’s Adventure--""Rainbow Resort""",low_reverb
524,"Kirby Canvas Curse--""Frozen Fantasy""",high_reverb
525,"Baku Bomberman--""White Ice""",high_reverb
526,"Donkey Kong Country--""Northern Hemispheres""",high_reverb
527,"Donkey Kong Country 3--""Frosty Frolics""",high_reverb
528,"Mother 2--""Winters""",low_reverb
529,"Chrono Trigger--""Singing Mountain""",high_reverb
530,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",low_reverb
531,"Final Fantasy VI--""Terra’s Theme""",high_reverb
532,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",low_reverb
533,"Trials of Mana--""Another Winter""",high_reverb
534,"Chocobo’s Dungeon 2--""Snow Field""",high_reverb
535,"Paper Mario--""Crystal Palace Crawl""",high_reverb
536,"Banshee's Last Cry--""Visions of a Distant Day""",high_reverb
537,"Revelations: Persona--""Snow Queen""",high_reverb
538,"Secret of Mana--""A Bell is Tolling""",high_reverb
539,"Sorcerian--""Cave I""",high_reverb
540,"Hanjuku Hero--""Field (Winter)""",low_reverb
541,"Mōryō Senki MADARA--""Aurora in the Distance""",high_reverb
542,"Pokémon Diamond/Pearl--""Mt. Coronet""",high_reverb
543,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",high_reverb
544,"Soma Bringer--""Village of Snow""",low_reverb
545,"Final Fantasy Tactics--""Antidote""",high_reverb
546,"Pokémon Diamond/Pearl--""Route 216 (Night)""",high_reverb
547,"Captain Toad: Treasure Tracker--""Star Express""",low_reverb
548,"Christmas Nights into Dreams--""Jack Frost's Chime""",high_reverb
549,"F-Zero--""White Land""",high_reverb
550,"Gradius Gaiden--""Snowfield""",high_reverb
551,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",high_reverb
552,"The Legend of Xanadu--""Ice Tower""",high_reverb
553,"Mega Man 4--""Dr. Cossack Stage 1""",high_reverb
554,"Mega Man & Bass--""Coldman Stage""",high_reverb
555,"Mega Man Zero 2--""Ice Brain""",high_reverb
556,"Super Street Fighter IV--""Theme of Zangief""",high_reverb
557,"Mega Man X--""Chill Penguin Stage""",high_reverb
558,"Mega Man X2--""Crystal Snail Stage""",high_reverb
559,"Mega Man X3--""Blizzard Buffalo Stage""",high_reverb
560,"Mega Man X4--""Frost Walrus Stage 2""",high_reverb
561,"Mega Man Zero 3--""Trail on Powdery Snow""",high_reverb
562,"Mega Man ZX--""Wonder Panorama""",high_reverb
563,"Castle Crashers--""Winter Bliss""",high_reverb
564,"Persona 3 FES--""The Snow Queen""",high_reverb
565,"Mushihimesama Futari--""Sea of Frozen Crystals""",high_reverb
566,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",high_reverb
567,"Revelations: Persona--""Ice Castle""",high_reverb
568,"Sonic Unleashed--""Cool Edge (Day)""",high_reverb
569,"Gurumin--""Jun Jun Jungle Gym""",high_reverb
570,"Diddy Kong Racing--""Frosty Village""",low_reverb
571,"Mario Kart 8--""Mount Wario""",low_reverb
572,"Mario Kart 7--""Rosalina's Ice World""",high_reverb
573,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",high_reverb
574,"Ace Combat 5: The Unsung War--""Ice Cage""",high_reverb
575,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",high_reverb
576,"Kirby's Epic Yarn--""Snowy Fields""",low_reverb
577,"Harvest Moon 64--""New Year’s Eve""",low_reverb
578,"Harvest Moon 64--""Starry Night Festival""",low_reverb
579,"Harvest Moon 64--""Winter Season""",low_reverb
580,"Tales of Symphonia--""Snow Light""",high_reverb
581,"Stardew Valley--""Nocturne of Ice""",high_reverb
582,"Stardew Valley--""The Wind Can Be Still""",high_reverb
583,"Stardew Valley--""Ancient""",high_reverb
584,"Stardew Valley--""Winter Festival""",high_reverb
585,"Stardew Valley--""Icicles""",high_reverb
586,"Stardew Valley--""Cloth""",high_reverb
587,"Stardew Valley--""Visitor to the Unknown""",high_reverb
588,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",high_reverb
589,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",high_reverb
590,"Harvest Moon: A Wonderful Life--""Quiet Winter""",low_reverb
591,"Harvest Moon DS--""Winter""",high_reverb
592,"Harvest Moon: Back to Nature--""Winter""",low_reverb
593,"Harvest Moon 3D: A New Beginning--""Winter""",low_reverb
594,"Harvest Moon--""Winter""",high_reverb
595,"Harvest Moon: Magical Melody--""Winter""",high_reverb
596,"Harvest Moon: Save the Homeland--""Winter (Farm)""",high_reverb
597,"Harvest Moon: Save the Homeland--""Winter (Town)""",high_reverb
598,"Harvest Moon: Tree of Tranquility--""Winter""",high_reverb
599,"Harvest Moon: Animal Parade--""Winter (Day)""",high_reverb
600,"Harvest Moon: Animal Parade--""Winter (Night)""",high_reverb
601,"Harvest Moon: Hero of Leaf Valley--""Winter""",high_reverb
602,"Harvest Moon: Friends of Mineral Town--""Winter""",low_reverb
603,"Harvest Moon DS: Island of Happiness--""Winter""",low_reverb
604,"Harvest Moon DS: Sunshine Islands--""Winter""",low_reverb
605,"Harvest Moon: The Tale of Two Towns--""Winter""",low_reverb
606,"Harvest Moon: Lost Valley--""Winter (Day)""",high_reverb
607,"Harvest Moon: Lost Valley--""Winter (Night)""",high_reverb
608,"Rune Factory: A Fantasy Harvest Moon--""Winter""",high_reverb
609,"Rune Factory 2--""Winter""",high_reverb
610,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",high_reverb
611,"Sonic Unleashed--""Cool Edge (Night)""",high_reverb
612,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",high_reverb
613,"Secret of Mana--""A Wish…""",high_reverb
614,"Yooka-Laylee--""Glitterglaze Glacier""",high_reverb
615,"Elder Scrolls II: Daggerfall--""Treading Winter""",high_reverb
616,"Persona 4--""Snowflakes""",high_reverb
617,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",high_reverb
618,"Runescape 3--""Snowdrops""",high_reverb
619,"The Legend of Xanadu--""The Ice Cave""",high_reverb
620,"Mega Man--""Iceman Stage""",high_reverb
621,"Persona 4--""Christmas Eve""",low_reverb
622,"Persona 5--""Christmas Eve [out]""",high_reverb
623,"Persona 5--""Christmas Eve [in]""",high_reverb
624,"Final Fantasy XIV--""Starlight Celebration""",high_reverb
625,"Kingdom Hearts II Final Mix--""Christmas Town""",high_reverb
626,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",high_reverb
627,"Overcooked! The Festive Seasoning--""Menu Music""",high_reverb
628,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",high_reverb
629,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",high_reverb
630,"Overcooked! The Festive Seasoning--""Level""",high_reverb
631,"Overcooked! The Festive Seasoning--""Onion Wildfire""",high_reverb
632,"Pikmin 3--""Fortress of Festivity!""",high_reverb
633,"Final Fantasy Tactics--""Under the Stars""",no_drums
634,"Persona 3--""Memories of the City""",rock
638,"Tales of Graces--""To a Sea of Dancing Snow""",rock
639,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",rock
640,"Napple Tale--""Snowball""",train
642,"Bravely Default--""Land of Immortality""",rock
643,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",techno
644,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",rock
645,"Pokémon X/Y--""Snowbelle City""",military
646,"Final Fantasy XIII--""Lake Bresha""",military
647,"Kingdom Hearts II--""The Home of Dragons""",military
649,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",military
652,"Odin Sphere--""Battle on the Snowy Mountain""",military
653,"Kantai Collection--""Winter Fleet""",military
654,"Sonic the Hedgehog 3--""Ice Cap Zone""",rock
655,"Donkey Kong Country 2--""In a Snow-Bound Land""",rock
656,"Final Fantasy VII--""Buried in the Snow""",no_drums
657,"Stardew Valley--""Marimba of Frozen Bones""",rock
658,"Celeste--""My Dearest Friends""",no_drums
659,"Animal Crossing: New Horizons--""Toy Day""",no_drums
660,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",rock
661,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",jig
662,"Super Mario 3D Land--""Snowball Park""",no_drums
663,"Super Mario 64--""Cool, Cool Mountain""",no_drums
664,"Mother 3--""White""",no_drums
665,"Donkey Kong Country--""Ice Cave Chant""",no_drums
666,"Mario Party 3--""Chilly-Chilly Lake""",jazz_waltz
667,"Kirby Triple Deluxe--""Silver Snow Story""",EDM
668,"Atelier Totori: The Adventurer of Arland--""Hepatica""",light_drums
669,"Paper Mario--""Cold Reception""",rock
670,"Banjo-Kazooie--""Freezeezy Peak""",polka
671,"Kirby 64: The Crystal Shards--""Shiver Star""",rock
672,"Pokémon Diamond/Pearl--""Route 216""",shuffle
673,"Super Smash Brothers Melee--""Icicle Mountain""",jazz
674,"Knight Arms--""Arsys Christmas Song""",rock
675,"Super Mario Kart--""Vanilla Lake""",son
676,"Mario Kart 64--""Frappe Snowland""",no_drums
677,"Kirby Air Ride--""Float Islands""",rock
678,"Kirby Air Ride--""Frozen Hillside""",no_drums
679,"Kirby and the Amazing Mirror--""Crystal and Ice""",rock
680,"Kirby’s Adventure--""Rainbow Resort""",rock
681,"Baku Bomberman--""White Ice""",shuffle
682,"Donkey Kong Country--""Northern Hemispheres""",no_drums
683,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",no_drums
684,"Final Fantasy VI--""Terra’s Theme""",military
685,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",no_drums
686,"Trials of Mana--""Another Winter""",no_drums
687,"Chocobo’s Dungeon 2--""Snow Field""",no_drums
688,"Banshee's Last Cry--""Visions of a Distant Day""",no_drums
689,"Revelations: Persona--""Snow Queen""",no_drums
690,"Secret of Mana--""A Bell is Tolling""",no_drums
691,"Sorcerian--""Cave I""",rock
692,"Hanjuku Hero--""Field (Winter)""",military
693,"Mōryō Senki MADARA--""Aurora in the Distance""",no_drums
694,"Pokémon Diamond/Pearl--""Mt. Coronet""",rock
695,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",rock
698,"Pokémon Diamond/Pearl--""Route 216 (Night)""",shuffle
699,"Captain Toad: Treasure Tracker--""Star Express""",train
700,"Christmas Nights into Dreams--""Jack Frost's Chime""",rock
701,"F-Zero--""White Land""",rock
702,"Gradius Gaiden--""Snowfield""",rock
703,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",rock
704,"The Legend of Xanadu--""Ice Tower""",rock
705,"Mega Man 4--""Dr. Cossack Stage 1""",rock
706,"Mega Man & Bass--""Coldman Stage""",EDM
707,"Mega Man Zero 2--""Ice Brain""",disco
708,"Super Street Fighter IV--""Theme of Zangief""",funk
709,"Mega Man X--""Chill Penguin Stage""",rock
710,"Mega Man X2--""Crystal Snail Stage""",rock
711,"Mega Man X3--""Blizzard Buffalo Stage""",train
712,"Mega Man X4--""Frost Walrus Stage 2""",rock
713,"Mega Man Zero 3--""Trail on Powdery Snow""",rock
714,"Mega Man ZX--""Wonder Panorama""",EDM
715,"Castle Crashers--""Winter Bliss""",EDM
716,"Persona 3 FES--""The Snow Queen""",EDM
717,"Mushihimesama Futari--""Sea of Frozen Crystals""",EDM
718,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",rock
719,"Revelations: Persona--""Ice Castle""",rock
720,"Sonic Unleashed--""Cool Edge (Day)""",rock
721,"Gurumin--""Jun Jun Jungle Gym""",breakbeat
722,"Diddy Kong Racing--""Frosty Village""",boogie-woogie
723,"Mario Kart 8--""Mount Wario""",rock
724,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",train
725,"Ace Combat 5: The Unsung War--""Ice Cage""",military
726,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",military
727,"Kirby's Epic Yarn--""Snowy Fields""",Latin_jazz
728,"Harvest Moon 64--""Winter Season""",waltz
729,"Stardew Valley--""Nocturne of Ice""",no_drums
730,"Stardew Valley--""The Wind Can Be Still""",no_drums
731,"Stardew Valley--""Ancient""",no_drums
732,"Stardew Valley--""Winter Festival""",no_drums
733,"Stardew Valley--""Icicles""",rock
734,"Stardew Valley--""Cloth""",no_drums
735,"Stardew Valley--""Visitor to the Unknown""",rock
736,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",no_drums
737,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",no_drums
738,"Harvest Moon DS--""Winter""",no_drums
739,"Harvest Moon 3D: A New Beginning--""Winter""",no_drums
741,"Harvest Moon: Save the Homeland--""Winter (Farm)""",no_drums
742,"Harvest Moon: Save the Homeland--""Winter (Town)""",rock
745,"Harvest Moon: Animal Parade--""Winter (Night)""",no_drums
746,"Harvest Moon: Hero of Leaf Valley--""Winter""",no_drums
747,"Harvest Moon: Friends of Mineral Town--""Winter""",no_drums
748,"Harvest Moon DS: Island of Happiness--""Winter""",no_drums
749,"Harvest Moon DS: Sunshine Islands--""Winter""",shuffle
750,"Harvest Moon: The Tale of Two Towns--""Winter""",Latin_jazz
751,"Harvest Moon: Lost Valley--""Winter (Day)""",no_drums
752,"Harvest Moon: Lost Valley--""Winter (Night)""",no_drums
753,"Rune Factory: A Fantasy Harvest Moon--""Winter""",no_drums
754,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",no_drums
755,"Sonic Unleashed--""Cool Edge (Night)""",EDM
756,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",no_drums
757,"Secret of Mana--""A Wish…""",no_drums
758,"Yooka-Laylee--""Glitterglaze Glacier""",no_drums
759,"Elder Scrolls II: Daggerfall--""Treading Winter""",no_drums
760,"Persona 4--""Snowflakes""",rock
761,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",no_drums
762,"Runescape 3--""Snowdrops""",no_drums
764,"Mega Man--""Iceman Stage""",rock
765,"Persona 4--""Christmas Eve""",rock
766,"Persona 5--""Christmas Eve [out]""",rock
767,"Persona 5--""Christmas Eve [in]""",rock
768,"Final Fantasy XIV--""Starlight Celebration""",no_drums
769,"Kingdom Hearts II Final Mix--""Christmas Town""",light_drums
770,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",no_drums
771,"Overcooked! The Festive Seasoning--""Menu Music""",no_drums
772,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",rock
773,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",train
774,"Overcooked! The Festive Seasoning--""Level""",no_drums
775,"Overcooked! The Festive Seasoning--""Onion Wildfire""",no_drums
776,"Pikmin 3--""Fortress of Festivity!""",rock
777,"Final Fantasy Tactics--""Under the Stars""",piano:piano
778,"Persona 3--""Memories of the City""",piano:piano
779,"Romancing SaGa 3--""Boundaries""",treble_vocal_synth:vocals:synth
780,"Unlimited Saga--""Theme for Laura""",flute:woodwinds
781,"PoPoLoCRoIS Monogatari--""Northern World""",wind_chimes:metallic_percussion:percussion
782,"Tales of Graces--""To a Sea of Dancing Snow""",oboe:woodwinds
783,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",piano
784,"Napple Tale--""Snowball""",strings:strings
785,"SaGa Frontier 2--""Naturvolk""",piano
786,"Bravely Default--""Land of Immortality""",sleigh_bells:metallic_percussion
787,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",synth:synth
788,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",piano
789,"Pokémon X/Y--""Snowbelle City""",lament
790,"Final Fantasy XIII--""Lake Bresha""",chimes:metallic_percussion:percussion
791,"Kingdom Hearts II--""The Home of Dragons""",tambourine:metallic_percussion:percussion
792,"Zwei: The Ilvard Insurrection--""Edge of Stars""",oboe:woodwinds
793,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",oboe:woodwinds
794,"Final Fantasy X--""People of the North Pole""",violin:strings
795,"Final Fantasy X-2--""Mt. Gagazet""",strings:strings
796,"Odin Sphere--""Battle on the Snowy Mountain""",cymbals:metallic_percussion:percussion
797,"Kantai Collection--""Winter Fleet""",orchestra
798,"Sonic the Hedgehog 3--""Ice Cap Zone""",synth:synth
799,"Donkey Kong Country 2--""In a Snow-Bound Land""",gated_snare:drums:percussion:drums
800,"Final Fantasy VII--""Buried in the Snow""",vibraphone:metallic_percussion:percussion
801,"Stardew Valley--""Marimba of Frozen Bones""",bass
802,"Celeste--""My Dearest Friends""",piano:piano
803,"Animal Crossing: New Horizons--""Toy Day""",sleigh_bells:metallic_percussion
804,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",chimes:metallic_percussion:percussion
805,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",sleigh_bells:metallic_percussion
806,"Super Mario 3D Land--""Snowball Park""",sleigh_bells:metallic_percussion
807,"Super Mario 64--""Cool, Cool Mountain""",sleigh_bells:metallic_percussion
808,"Mother 3--""White""",sleigh_bells:metallic_percussion
809,"Donkey Kong Country--""Ice Cave Chant""",glockenspiel:metallic_percussion:percussion
810,"Mario Party 3--""Chilly-Chilly Lake""",synth_bass:synth:bass
811,"Kirby Triple Deluxe--""Silver Snow Story""",sleigh_bells:metallic_percussion
812,"Atelier Totori: The Adventurer of Arland--""Hepatica""",triangle:metallic_percussion:percussion
813,"Monster Hunter Freedom Unite--""Pokke Village""",acoustic_guitar:guitar:plucked_strings
814,"Paper Mario--""Cold Reception""",treble_vocal_synth:vocals:synth
815,"Banjo-Kazooie--""Freezeezy Peak""",strings:strings
816,"Kirby 64: The Crystal Shards--""Shiver Star""",80s
817,"Pokémon Diamond/Pearl--""Route 216""",saxophone:woodwinds
818,"Super Smash Brothers Melee--""Icicle Mountain""",piano
819,"Knight Arms--""Arsys Christmas Song""",sleigh_bells:metallic_percussion
820,"Super Mario Kart--""Vanilla Lake""",strings:strings
821,"Mario Kart 64--""Frappe Snowland""",strings:strings
822,"Kirby Air Ride--""Float Islands""",rapid_notes
823,"Kirby Air Ride--""Frozen Hillside""",choral_synth:synth:vocals
824,"Kirby Air Ride--""Rainbow Resort""",flute:woodwinds
825,"Kirby and the Amazing Mirror--""Crystal and Ice""",pizz_strings:strings:plucked_strings
826,"Kirby’s Adventure--""Rainbow Resort""",chiptune
827,"Kirby Canvas Curse--""Frozen Fantasy""",flute:woodwinds
828,"Baku Bomberman--""White Ice""",electric_organ:organ
829,"Donkey Kong Country--""Northern Hemispheres""",strings:strings
830,"Donkey Kong Country 3--""Frosty Frolics""",crotales:metallic_percussion:percussion
831,"Mother 2--""Winters""",electric_piano:metallic_percussion:piano
832,"Chrono Trigger--""Singing Mountain""",wind_effect
833,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",harp:plucked_strings:strings
834,"Final Fantasy VI--""Terra’s Theme""",chimes:metallic_percussion:percussion
835,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",strings:strings
836,"Trials of Mana--""Another Winter""",marimba:percussion
837,"Chocobo’s Dungeon 2--""Snow Field""",strings:strings
838,"Paper Mario--""Crystal Palace Crawl""",glockenspiel:metallic_percussion:percussion
839,"Banshee's Last Cry--""Visions of a Distant Day""",celesta:metallic_percussion:percussion
840,"Revelations: Persona--""Snow Queen""",strings:strings
841,"Secret of Mana--""A Bell is Tolling""",strings:strings
842,"Sorcerian--""Cave I""",piano
843,"Hanjuku Hero--""Field (Winter)""",chiptune
844,"Mōryō Senki MADARA--""Aurora in the Distance""",chiptune
845,"Pokémon Diamond/Pearl--""Mt. Coronet""",piano
846,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",80s
847,"Soma Bringer--""Village of Snow""",accordion
848,"Final Fantasy Tactics--""Antidote""",harp:plucked_strings:strings
849,"Pokémon Diamond/Pearl--""Route 216 (Night)""",synth_bass:synth:bass
850,"Captain Toad: Treasure Tracker--""Star Express""",sleigh_bells:metallic_percussion
851,"Christmas Nights into Dreams--""Jack Frost's Chime""",pizz_strings:strings:plucked_strings
852,"F-Zero--""White Land""",slap_bass:bass
853,"Gradius Gaiden--""Snowfield""",drumset:drums
854,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",flute:woodwinds
855,"The Legend of Xanadu--""Ice Tower""",synth:synth
856,"Mega Man 4--""Dr. Cossack Stage 1""",no_bass
857,"Mega Man & Bass--""Coldman Stage""",vibraphone:metallic_percussion:percussion
858,"Mega Man Zero 2--""Ice Brain""",synth:synth
859,"Super Street Fighter IV--""Theme of Zangief""",horn_section:brass
860,"Mega Man X--""Chill Penguin Stage""",brass:brass
861,"Mega Man X2--""Crystal Snail Stage""",electric_guitar:guitar
862,"Mega Man X3--""Blizzard Buffalo Stage""",detuned
863,"Mega Man X4--""Frost Walrus Stage 2""",electric_piano:metallic_percussion:piano
864,"Mega Man Zero 3--""Trail on Powdery Snow""",treble_vocal_synth:vocals:synth
865,"Mega Man ZX--""Wonder Panorama""",treble_vocal_synth:vocals:synth
866,"Castle Crashers--""Winter Bliss""",synth_pad:synth
867,"Persona 3 FES--""The Snow Queen""",synth_bass:synth:bass
868,"Mushihimesama Futari--""Sea of Frozen Crystals""",synth_lead:synth
869,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",electric_guitar:guitar
870,"Revelations: Persona--""Ice Castle""",treble_vocal_synth:vocals:synth
871,"Sonic Unleashed--""Cool Edge (Day)""",electric_guitar:guitar
872,"Gurumin--""Jun Jun Jungle Gym""",electric_guitar:guitar
873,"Diddy Kong Racing--""Frosty Village""",swing
874,"Mario Kart 8--""Mount Wario""",violin:strings
875,"Mario Kart 7--""Rosalina's Ice World""",piano:piano
876,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",orchestra
877,"Ace Combat 5: The Unsung War--""Ice Cage""",hi-hat:metallic_percussion:percussion
878,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",chimes:metallic_percussion:percussion
879,"Kirby's Epic Yarn--""Snowy Fields""",sleigh_bells:metallic_percussion
880,"Harvest Moon 64--""New Year’s Eve""",drumset:drums
881,"Harvest Moon 64--""Starry Night Festival""",tambourine:metallic_percussion:percussion
882,"Harvest Moon 64--""Winter Season""",sleigh_bells:metallic_percussion
883,"Tales of Symphonia--""Snow Light""",sleigh_bells:metallic_percussion
884,"Stardew Valley--""Nocturne of Ice""",vibraphone:metallic_percussion:percussion
885,"Stardew Valley--""The Wind Can Be Still""",treble_vocal_synth:vocals:synth
886,"Stardew Valley--""Ancient""",marimba:percussion
887,"Stardew Valley--""Winter Festival""",sleigh_bells:metallic_percussion
888,"Stardew Valley--""Icicles""",chiptune
889,"Stardew Valley--""Cloth""",piano
890,"Stardew Valley--""Visitor to the Unknown""",electric_bass:bass
891,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",crotales:metallic_percussion:percussion
892,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",treble_vocal_synth:vocals:synth
893,"Harvest Moon: A Wonderful Life--""Quiet Winter""",harp:plucked_strings:strings
894,"Harvest Moon DS--""Winter""",piano
895,"Harvest Moon: Back to Nature--""Winter""",strings:strings
896,"Harvest Moon 3D: A New Beginning--""Winter""",sleigh_bells:metallic_percussion
897,"Harvest Moon--""Winter""",accordion
898,"Harvest Moon: Magical Melody--""Winter""",hand_drums:drums
899,"Harvest Moon: Save the Homeland--""Winter (Farm)""",crotales:metallic_percussion:percussion
900,"Harvest Moon: Save the Homeland--""Winter (Town)""",pan_flute:woodwinds
901,"Harvest Moon: Tree of Tranquility--""Winter""",piano
902,"Harvest Moon: Animal Parade--""Winter (Day)""",glockenflute:metallic_percussion:percussion:woodwinds
903,"Harvest Moon: Animal Parade--""Winter (Night)""",ride_cymbal:metallic_percussion
904,"Harvest Moon: Hero of Leaf Valley--""Winter""",minor_iv
905,"Harvest Moon: Friends of Mineral Town--""Winter""",strings:strings
906,"Harvest Moon DS: Island of Happiness--""Winter""",sleigh_bells:metallic_percussion
907,"Harvest Moon DS: Sunshine Islands--""Winter""",xylophone:percussion
908,"Harvest Moon: The Tale of Two Towns--""Winter""",pan_flute:woodwinds
909,"Harvest Moon: Lost Valley--""Winter (Day)""",flute:woodwinds
910,"Harvest Moon: Lost Valley--""Winter (Night)""",flute:woodwinds
911,"Rune Factory: A Fantasy Harvest Moon--""Winter""",harp:plucked_strings:strings
912,"Rune Factory 2--""Winter""",acoustic_guitar:guitar:plucked_strings
913,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",acoustic_guitar:guitar:plucked_strings
914,"Sonic Unleashed--""Cool Edge (Night)""",crotales:metallic_percussion:percussion
915,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",harp:plucked_strings:strings
916,"Secret of Mana--""A Wish…""",flute:woodwinds
917,"Yooka-Laylee--""Glitterglaze Glacier""",pizz_strings:strings:plucked_strings
918,"Elder Scrolls II: Daggerfall--""Treading Winter""",tambourine:metallic_percussion:percussion
919,"Persona 4--""Snowflakes""",treble_vocals
920,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",horn:brass
921,"Runescape 3--""Snowdrops""",orchestra
922,"The Legend of Xanadu--""The Ice Cave""",brushes
923,"Mega Man--""Iceman Stage""",chiptune
924,"Persona 4--""Christmas Eve""",synth_lead:synth
925,"Persona 5--""Christmas Eve [out]""",electric_organ:organ
926,"Persona 5--""Christmas Eve [in]""",electric_organ:organ
927,"Final Fantasy XIV--""Starlight Celebration""",treble_vocals:vocals
928,"Kingdom Hearts II Final Mix--""Christmas Town""",marimba:percussion
929,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",boogie-woogie
930,"Overcooked! The Festive Seasoning--""Menu Music""",treble_vocals:vocals
931,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",acoustic_guitar:guitar:plucked_strings
932,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",orchestra
933,"Overcooked! The Festive Seasoning--""Level""",strings:strings
934,"Overcooked! The Festive Seasoning--""Onion Wildfire""",wind_effect
935,"Pikmin 3--""Fortress of Festivity!""",drumset:drums
936,"Final Fantasy Tactics--""Under the Stars""",strings:strings
937,"Persona 3--""Memories of the City""",strings:strings
938,"Romancing SaGa 3--""Boundaries""",flute:woodwinds
939,"Unlimited Saga--""Theme for Laura""",piano:piano
940,"PoPoLoCRoIS Monogatari--""Northern World""",brass_synth:brass
941,"Tales of Graces--""To a Sea of Dancing Snow""",cymbals:metallic_percussion:percussion
942,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",chimes:metallic_percussion:percussion
943,"Napple Tale--""Snowball""",glockenspiel:metallic_percussion:percussion
944,"SaGa Frontier 2--""Naturvolk""",pizz_strings:strings:plucked_strings
945,"Bravely Default--""Land of Immortality""",piano:piano
946,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",piano
947,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",cymbals:metallic_percussion:percussion
948,"Pokémon X/Y--""Snowbelle City""",glockenspiel:metallic_percussion:percussion
949,"Final Fantasy XIII--""Lake Bresha""",strings:strings
950,"Kingdom Hearts II--""The Home of Dragons""",oboe:woodwinds
951,"Zwei: The Ilvard Insurrection--""Edge of Stars""",flute:woodwinds
